70, 0, 30, 70, 0, 30, 70, 0, 30, 
88, 0, 12, 88, 0, 12, 79, 0, 21, 
65, 15, 20, 65, 15, 20, 72, 8, 21, 
85, 15, 0, 85, 15, 0, 79, 12, 11, 
85, 15, 0, 85, 15, 0, 82, 14, 6, 
54, 29, 17, 54, 29, 17, 68, 22, 12, 
71, 29, 0, 71, 29, 0, 70, 26, 6, 
71, 29, 0, 71, 29, 0, 71, 28, 3, 
46, 44, 10, 46, 44, 10, 59, 36, 7, 
56, 44, 0, 56, 44, 0, 58, 40, 4, 
56, 44, 0, 56, 44, 0, 57, 42, 2, 
35, 54, 11, 35, 54, 11, 46, 48, 7, 
46, 54, 0, 46, 54, 0, 46, 51, 4, 
46, 54, 0, 46, 54, 0, 46, 53, 2, 
32, 64, 4, 32, 64, 4, 39, 59, 3, 
36, 64, 0, 36, 64, 0, 38, 62, 2, 
36, 64, 0, 36, 64, 0, 37, 63, 1, 
24, 71, 5, 24, 71, 5, 31, 67, 3, 
29, 71, 0, 29, 71, 0, 30, 69, 2, 
29, 71, 0, 29, 71, 0, 30, 70, 1, 
18, 75, 7, 18, 75, 7, 24, 73, 4, 
25, 75, 0, 25, 75, 0, 25, 74, 2, 
25, 75, 0, 25, 75, 0, 25, 75, 1, 
22, 78, 0, 22, 78, 0, 24, 77, 1, 
22, 78, 0, 22, 78, 0, 23, 78, 1, 
22, 78, 0, 22, 78, 0, 23, 78, 1, 
14, 82, 4, 14, 82, 4, 19, 80, 3, 
18, 82, 0, 18, 82, 0, 19, 81, 2, 
18, 82, 0, 18, 82, 0, 19, 82, 1, 
12, 84, 4, 12, 84, 4, 16, 83, 3, 
16, 84, 0, 16, 84, 0, 16, 84, 2, 
16, 84, 0, 16, 84, 0, 16, 84, 1, 
11, 86, 3, 11, 86, 3, 14, 85, 2, 
14, 86, 0, 14, 86, 0, 14, 86, 1, 
14, 86, 0, 14, 86, 0, 14, 86, 1, 
9, 88, 3, 9, 88, 3, 12, 87, 2, 
12, 88, 0, 12, 88, 0, 12, 88, 1, 
12, 88, 0, 12, 88, 0, 12, 88, 1, 
8, 92, 0, 8, 92, 0, 10, 90, 1, 
8, 92, 0, 8, 92, 0, 9, 91, 1, 
8, 92, 0, 8, 92, 0, 9, 92, 1, 
5, 94, 1, 5, 94, 1, 7, 93, 1, 
6, 94, 0, 6, 94, 0, 7, 94, 1, 
6, 94, 0, 6, 94, 0, 7, 94, 1, 
5, 94, 1, 5, 94, 1, 6, 94, 1, 
6, 94, 0, 6, 94, 0, 6, 94, 1, 
6, 94, 0, 6, 94, 0, 6, 94, 1, 
3, 94, 3, 3, 94, 3, 5, 94, 2, 
6, 94, 0, 6, 94, 0, 6, 94, 1, 
6, 94, 0, 6, 94, 0, 6, 94, 1, 
4, 95, 1, 4, 95, 1, 5, 95, 1, 
5, 95, 0, 5, 95, 0, 5, 95, 1, 
5, 95, 0, 5, 95, 0, 5, 95, 1, 
4, 96, 0, 4, 96, 0, 5, 96, 1, 
4, 96, 0, 4, 96, 0, 5, 96, 1, 
4, 96, 0, 4, 96, 0, 5, 96, 1, 
3, 96, 1, 3, 96, 1, 4, 96, 1, 
4, 96, 0, 4, 96, 0, 4, 96, 1, 
4, 96, 0, 4, 96, 0, 4, 96, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
3, 97, 0, 3, 97, 0, 4, 97, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
2, 98, 0, 2, 98, 0, 3, 98, 1, 
1, 98, 1, 1, 98, 1, 2, 98, 1, 
1, 98, 1, 1, 98, 1, 2, 98, 1, 
1, 98, 1, 1, 98, 1, 2, 98, 1, 
0, 98, 2, 0, 98, 2, 1, 98, 2, 
